	omega	0
omega	34	1220476941
omega	117	1222288099
omega	59	1222547024
omega	30	1222561278
omega	110	1224115151
omega	31	1224280402
omega	29	1224281541
omega	40	1224754200
omega	50	1224970047
omega	145	1225044882
omega	142	1225663679
omega	71	1225801802
omega	44	1225802803
omega	153	1225844209
omega	138	1225852440
omega	68	1225861351
omega	28	1225945382
omega	141	1225977506
omega	37	1226049795
omega	132	1226374614
omega	62	1227205918
omega	162	1227206338
omega	55	1227208834
omega	57	1227209303
omega	102	1227218578
omega	15	1227275833
omega	53	1227853083
omega	49	1228014420
omega	148	1228450458
omega	126	1228535534
omega	16	1229781505
omega	99	1229818828
omega	115	1230011916
omega	12	1230979212
omega	151	1231038683
omega	121	1231493050
omega	54	1231561197
omega	131	1231581445
omega	20	1231729696
omega	65	1231974962
omega	137	1231976383
omega	48	1231979074
omega	75	1231980997
omega	6	1232026965
omega	109	1232046091
omega	72	1232143091
omega	164	1232146691
omega	8	1232162564
omega	78	1232542766
omega	128	1233316072
omega	32	1233415583
omega	129	1233662688
omega	101	1233675031
omega	100	1233675398
omega	58	1233675911
omega	74	1233682242
omega	25	1233702772
omega	97	1233956932
omega	14	1234024943
omega	90	1234117424
omega	35	1234348109
omega	147	1234405004
omega	88	1234460694
omega	11	1234533066
omega	9	1234641609
omega	82	1234651785
omega	66	1234663475
omega	67	1234672928
omega	120	1234699554
omega	41	1234700567
omega	23	1234797642
omega	114	1234801352
omega	158	1234810597
omega	85	1234811334
omega	159	1234811596
omega	86	1234811997
omega	134	1234819771
omega	38	1234819925
omega	87	1234824208
omega	69	1234918893
omega	21	1234928402
omega	24	1234928811
omega	22	1234929618
omega	133	1234958763
omega	135	1234961004
omega	122	1234963165
omega	154	1234972629
omega	124	1235038464
omega	10	1235051460
omega	42	1235088247
omega	81	1235095302
omega	70	1235103951
omega	73	1235188155
omega	33	1235248610
omega	80	1235348850
omega	146	1235390884
omega	76	1235394603
omega	119	1235767633
omega	19	1235778118
omega	26	1235780931
omega	4	1235784186
omega	5	1235784210
omega	18	1235786177
omega	84	1235786460
omega	111	1235786530
omega	83	1235786762
omega	27	1235810145
omega	7	1235819278
omega	17	1235821254
omega	47	1235832700
omega	116	1235839174
omega	89	1235850113
omega	105	1235853982
omega	106	1235880694
omega	155	1235906142
omega	13	1235909259
omega	77	1235939393
omega	125	1235946914
omega	43	1235996176
omega	64	1236009766
omega	127	1236064545
	omega	0
omega	124	1220603943
omega	73	1222414002
omega	99	1222414879
omega	145	1222416388
omega	21	1222416874
omega	159	1222417399
omega	23	1222418945
omega	136	1222420743
omega	35	1222425953
omega	133	1222433809
omega	49	1222449086
omega	132	1222593688
omega	60	1222681622
omega	58	1222742936
omega	114	1223001265
omega	24	1223001566
omega	13	1223001742
omega	20	1223004125
omega	137	1223006770
omega	6	1223011412
omega	33	1223024949
omega	16	1223027550
omega	78	1223184407
omega	43	1223251066
omega	59	1223353004
omega	97	1226747121
omega	90	1228267923
omega	125	1228269526
omega	74	1228312106
omega	31	1228469084
omega	171	1228474090
omega	173	1228474530
omega	177	1228474702
omega	172	1228478265
omega	41	1228481466
omega	118	1228498180
omega	170	1228518885
omega	100	1228522851
omega	79	1228610878
omega	148	1228621709
omega	130	1228642741
omega	38	1228649639
omega	126	1228739523
omega	98	1228842281
omega	18	1228875991
omega	22	1228876759
omega	7	1228876861
omega	27	1228882408
omega	70	1228890792
omega	135	1228894278
omega	110	1228896210
omega	36	1228910308
omega	39	1228936070
omega	176	1229009721
omega	37	1229076974
omega	34	1229164421
omega	102	1229283915
omega	82	1229409086
omega	81	1229413509
omega	80	1229446831
omega	108	1229914064
omega	3	1229914948
omega	1	1229916186
omega	19	1229976868
omega	165	1230121762
omega	115	1230260216
